# Wing Angle Data Export
# Generated on: 2025-10-08 23:11:16
# Original time range: [11.800, 12.500] seconds
# Time normalized to start from 0
# Raw forewing points: 32
# Raw hindwing points: 30
# Interpolated forewing points: 320
# Interpolated hindwing points: 300
# Columns:
# - time: Time in seconds (normalized to start from 0)
# - forewing_angle: Forewing angle in degrees
# - hindwing_angle: Hindwing angle in degrees
# - data_type: 'raw' for original data points, 'interpolated' for smoothed curve
time,forewing_angle,hindwing_angle,data_type
0.3245049999999985,,5.061230469789791,raw
0.3245049999999985,-36.10133845888332,,raw
0.32500868338557964,-33.61430212616772,,interpolated
0.32595104347826087,,5.0784006896666885,interpolated
0.3268633949843256,-32.40436897590954,,interpolated
0.32801337458193913,,5.095558491277685,interpolated
0.32871810658307155,-31.106237501781536,,interpolated
0.3300757056856174,,5.0856790983257145,interpolated
0.3305728181818175,-29.72090394605101,,interpolated
0.33213803678929743,,5.048856144380747,interpolated
0.33242752978056345,-28.248782073036907,,interpolated
0.3328539999999993,-28.45963850025889,,raw
0.3328539999999993,,5.126055834203697,raw
0.3342003678929757,,4.9856774558274495,interpolated
0.3342822413793094,-26.691127475461407,,interpolated
0.33613695297805535,-25.051034819337804,,interpolated
0.33626269899665573,,4.897158531882482,interpolated
0.3379916645768013,-23.33373029322812,,interpolated
0.338325030100334,,4.7846782170823525,interpolated
0.33984637617554725,-21.546857705141285,,interpolated
0.34038736120401225,,4.649916566241792,interpolated
0.34117,,4.705737547015829,raw
0.341701087774295,-19.699568035603363,,interpolated
0.3424496923076923,,4.494794901882568,interpolated
0.3435557993730409,-17.80019075770824,,interpolated
0.34451202341137055,,4.321418064132893,interpolated
0.3454105109717869,-15.855590982354899,,interpolated
0.3465743545150488,,4.132018853097295,interpolated
0.3472652225705328,-13.870744848588789,,interpolated
0.34863668561872885,,3.928899613937875,interpolated
0.3491199341692788,-11.848597879374813,,interpolated
0.349518999999999,,4.702816749723553,raw
0.3506990167224071,,3.714067741750621,interpolated
0.35097464576802473,-9.792333111131004,,interpolated
0.35276134782608715,,3.488759260740532,interpolated
0.3528293573667707,-7.706848969331871,,interpolated
0.35468406896551663,-5.599111436984436,,interpolated
0.3548236789297654,,3.2535154507724777,interpolated
0.3565387805642626,-3.478497782931296,,interpolated
0.35688601003344367,,3.0083096519165515,interpolated
0.35783599999999893,,3.2909113522785987,raw
0.35839349216300853,-1.3558272259286992,,interpolated
0.3589483411371237,,2.7528727176757957,interpolated
0.3602482037617545,0.7590496972140868,,interpolated
0.36101067224080197,,2.487117055177344,interpolated
0.36210291536050043,2.857870142344386,,interpolated
0.3630730033444802,,2.21116465806707,interpolated
0.3639576269592464,4.934359214992562,,interpolated
0.36513533444816026,,1.9253329911115962,interpolated
0.3658123385579941,6.984493172789486,,interpolated
